date,Settle
2005-09-16,171.25
2005-09-19,171.25
2005-09-20,170.25
2005-09-21,170.0
2005-09-22,168.0
2005-09-23,166.25
2005-09-26,165.25
2005-09-27,165.125
2005-09-28,164.0
2005-09-29,165.25
2005-09-30,164.25
2005-10-03,164.25
2005-10-04,163.0
2005-10-05,161.5
2005-10-06,163.0
2005-10-07,163.0
2005-10-10,164.25
2005-10-11,164.25
2005-10-12,164.25
2005-10-13,164.25
2005-10-14,164.25
2005-10-17,164.5
2005-10-18,164.5
2005-10-19,164.75
2005-10-20,165.0
2005-10-21,164.75
2005-10-24,164.75
2005-10-25,164.75
2005-10-26,164.5
2005-10-27,164.5
2005-10-28,164.5
2005-10-31,164.0
2005-11-07,148.0
2005-11-08,146.0
2005-11-09,146.5
2005-11-10,147.0
2005-11-11,147.0
2005-11-14,147.0
2005-11-15,147.0
2005-11-16,147.0
2005-11-17,147.0
2005-11-18,147.0
2005-11-21,147.0
2005-11-22,147.0
2005-11-23,147.0
2005-11-25,147.0
2005-11-28,147.0
2005-11-29,146.0
2005-11-30,146.0
2005-12-05,138.5
2005-12-06,138.5
2005-12-07,138.25
2005-12-08,138.27499389648438
2005-12-09,137.75
2005-12-12,136.5
2005-12-13,136.5
2005-12-14,136.5
2005-12-15,136.5
2005-12-16,136.0500030517578
2005-12-19,136.0
2005-12-20,136.0
2005-12-21,136.0
2005-12-22,135.75
2005-12-23,136.0
2005-12-27,136.0
2005-12-28,136.0
2005-12-29,136.0
2005-12-30,136.8000030517578
2006-01-03,136.25
2006-01-04,141.0
2006-01-05,139.0
2006-01-06,140.0
2006-01-09,137.0
2006-01-10,137.0
2006-01-11,138.25
2006-01-12,137.0
2006-01-13,135.0
2006-01-17,135.0
2006-01-18,135.0
2006-01-19,134.5
2006-01-20,134.5
2006-01-23,134.5
2006-01-24,134.5
2006-01-25,134.5
2006-01-26,134.25
2006-01-27,134.25
2006-01-30,134.25
2006-01-31,134.25
2006-02-03,126.25
2006-02-06,125.75
2006-02-07,125.5999984741211
2006-02-08,124.75
2006-02-09,123.0
2006-02-10,123.0
2006-02-13,122.75
2006-02-14,122.25
2006-02-15,122.0
2006-02-16,122.0
2006-02-17,122.0
2006-02-20,122.0
2006-02-21,121.5
2006-02-22,121.5
