date,Settle
2010-05-25,721.5
2010-05-26,720.5
2010-05-27,738.0
2010-06-01,735.75
2010-06-02,743.5
2010-06-03,739.5
2010-06-04,731.5
2010-06-07,724.5
2010-06-08,722.25
2010-06-09,722.25
2010-06-10,722.5
2010-06-11,723.0
2010-06-14,731.25
2010-06-15,730.75
2010-06-16,732.75
2010-06-17,732.75
2010-06-18,737.25
2010-06-21,752.75
2010-06-22,744.25
2010-06-23,736.25
2010-06-24,739.5
2010-06-25,736.5
2010-06-28,741.75
2010-06-29,730.5
2010-06-30,723.75
2010-07-01,724.5
2010-07-02,723.0
2010-07-06,712.0
2010-07-07,715.0
2010-07-08,717.75
2010-07-09,716.0
2010-07-12,708.75
2010-07-13,729.75
2010-07-14,707.25
2010-07-15,763.75
2010-07-16,758.0
2010-07-19,755.5
2010-07-20,752.5
2010-07-21,759.25
2010-07-22,780.75
2010-07-23,777.25
2010-07-26,773.5
2010-07-27,770.0
2010-07-28,774.0
2010-07-29,793.25
2010-07-30,792.25
2010-08-02,806.25
2010-08-03,809.75
2010-08-04,813.0
2010-08-05,833.75
2010-08-06,837.0
2010-08-09,861.0
2010-08-10,849.5
2010-08-11,844.0
2010-08-12,852.25
2010-08-13,851.5
2010-08-16,837.75
2010-08-17,841.75
2010-08-18,821.25
2010-08-19,818.0
2010-08-20,806.75
2010-08-23,814.5
2010-08-24,808.5
2010-08-25,791.5
2010-08-26,803.75
2010-08-27,810.5
2010-08-30,809.25
2010-08-31,794.75
2010-09-01,802.75
2010-09-02,809.5
2010-09-03,831.0
2010-09-07,862.0
2010-09-08,857.25
2010-09-09,845.75
2010-09-10,846.75
2010-09-13,866.25
2010-09-14,851.25
2010-09-15,850.75
2010-09-16,837.5
2010-09-17,847.5
2010-09-20,871.5
2010-09-21,862.75
2010-09-22,865.75
2010-09-23,867.5
2010-09-24,889.25
2010-09-27,883.0
2010-09-28,886.25
2010-09-29,869.75
2010-09-30,885.0
2010-10-01,856.0
2010-10-04,864.75
2010-10-05,871.75
2010-10-06,873.75
2010-10-07,890.0
2010-10-08,890.5
2010-10-11,943.5
2010-10-12,933.75
2010-10-13,946.25
2010-10-14,946.25
2010-10-15,943.75
2010-10-18,960.5
2010-10-19,932.0
2010-10-20,955.25
2010-10-21,926.25
2010-10-22,955.0
2010-10-25,988.0
2010-10-26,998.25
2010-10-27,988.25
2010-10-28,986.25
2010-10-29,987.75
2010-11-01,999.0
2010-11-02,998.25
2010-11-03,1002.75
2010-11-04,1036.25
2010-11-05,1051.0
2010-11-08,1056.5
2010-11-09,1109.0
2010-11-10,1083.0
2010-11-11,1085.25
2010-11-12,1077.75
2010-11-15,1088.0
2010-11-16,1048.0
2010-11-17,995.75
2010-11-18,1029.0
2010-11-19,1033.0
2010-11-22,1026.0
2010-11-23,1007.5
2010-11-24,1026.0
2010-11-26,1026.0
2010-11-29,1036.5
2010-11-30,1102.0
2010-12-01,1124.5
2010-12-02,1121.25
2010-12-03,1126.75
2010-12-06,1131.0
2010-12-07,1142.0
2010-12-08,1160.0
2010-12-09,1149.75
2010-12-10,1158.5
2010-12-13,1188.0
2010-12-14,1138.5
2010-12-15,1167.75
2010-12-16,1131.5
2010-12-17,1126.75
2010-12-20,1136.5
2010-12-21,1146.75
2010-12-22,1173.0
2010-12-23,1188.5
2010-12-27,1211.5
2010-12-28,1212.25
2010-12-29,1207.0
2010-12-30,1202.75
2010-12-31,1273.75
2011-01-03,1235.25
2011-01-04,1229.0
2011-01-05,1255.5
2011-01-06,1237.75
2011-01-07,1230.25
2011-01-10,1215.75
2011-01-11,1203.5
2011-01-12,1192.0
2011-01-13,1209.25
2011-01-14,1204.5
2011-01-18,1204.25
2011-01-19,1209.25
2011-01-20,1209.25
2011-01-21,1236.25
2011-01-24,1217.25
2011-01-25,1191.0
2011-01-26,1216.0
2011-01-27,1228.5
2011-01-28,1218.5
2011-01-31,1232.75
2011-02-01,1255.5
2011-02-02,1280.0
2011-02-03,1270.5
2011-02-04,1240.5
2011-02-07,1266.5
2011-02-08,1282.25
2011-02-09,1295.5
2011-02-10,1290.75
2011-02-11,1299.0
2011-02-14,1288.5
2011-02-15,1291.25
2011-02-16,1241.75
2011-02-17,1251.25
2011-02-18,1251.25
2011-02-22,1234.25
2011-02-23,1176.25
2011-02-24,1129.75
2011-02-25,1187.25
2011-02-28,1166.75
2011-03-01,1163.75
2011-03-02,1200.5
2011-03-03,1191.25
2011-03-04,1211.75
2011-03-07,1205.5
2011-03-08,1182.25
2011-03-09,1182.5
2011-03-10,1140.25
2011-03-11,1106.75
2011-03-14,1097.0
2011-03-15,1127.5
2011-03-16,1075.75
2011-03-17,1089.5
2011-03-18,1131.25
2011-03-21,1131.5
2011-03-22,1109.5
2011-03-23,1088.5
2011-03-24,1127.5
2011-03-25,1110.25
2011-03-28,1080.75
2011-03-29,1082.0
2011-03-30,1097.25
2011-03-31,1099.25
2011-04-01,1108.0
2011-04-04,1114.75
2011-04-05,1110.5
2011-04-06,1109.5
2011-04-07,1093.25
2011-04-08,1132.0
2011-04-11,1088.25
2011-04-12,1123.5
2011-04-13,1162.0
2011-04-14,1160.75
2011-04-15,1101.25
2011-04-18,1080.75
2011-04-19,1080.0
2011-04-20,1098.75
2011-04-21,1097.75
2011-04-25,1100.5
2011-04-26,1108.75
2011-04-27,1101.5
2011-04-28,1082.25
2011-04-29,1128.75
2011-05-02,1130.75
2011-05-03,1090.25
2011-05-04,1082.25
2011-05-05,1082.25
2011-05-06,1082.25
2011-05-09,1085.25
2011-05-10,1089.5
2011-05-11,1096.0
2011-05-12,1075.5
2011-05-13,1086.75
2011-05-16,1064.0
2011-05-17,1066.25
2011-05-18,1103.0
2011-05-19,1103.0
2011-05-20,1117.0
2011-05-23,1095.5
2011-05-24,1101.5
2011-05-25,1115.5
2011-05-26,1129.5
2011-05-27,1129.5
2011-05-31,1127.5
2011-06-01,1114.25
2011-06-02,1134.75
2011-06-03,1122.0
2011-06-06,1118.75
2011-06-07,1108.0
2011-06-08,1100.75
2011-06-09,1089.75
2011-06-10,1073.75
2011-06-13,1074.5
2011-06-14,1073.5
2011-06-15,1078.0
2011-06-16,1060.75
2011-06-17,1090.0
2011-06-20,1102.5
2011-06-21,1095.0
2011-06-22,1050.0
2011-06-23,1013.5
2011-06-24,989.25
2011-06-27,952.25
2011-06-28,952.25
2011-06-29,1022.25
2011-06-30,1016.25
2011-07-01,1006.5
2011-07-05,1010.5
2011-07-06,1007.25
2011-07-07,1015.5
2011-07-08,1027.5
2011-07-11,1022.75
2011-07-12,1001.25
2011-07-13,1018.5
2011-07-14,1046.25
2011-07-15,1025.25
2011-07-18,1020.75
2011-07-19,1031.75
2011-07-20,1051.75
2011-07-21,1045.25
2011-07-22,1052.75
2011-07-25,1041.5
2011-07-26,1052.5
2011-07-27,1064.75
2011-07-28,1053.75
2011-07-29,1047.0
2011-08-01,1060.0
2011-08-02,1055.5
2011-08-03,1053.5
2011-08-04,1043.0
2011-08-05,1014.25
2011-08-08,994.75
2011-08-09,970.25
2011-08-10,976.5
2011-08-11,994.25
2011-08-12,1008.25
2011-08-15,995.75
2011-08-16,1010.25
2011-08-17,1017.25
2011-08-18,1016.75
2011-08-19,1004.75
2011-08-22,1015.75
2011-08-23,1032.25
2011-08-24,1021.489990234375
2011-08-25,1002.75
2011-08-26,994.5
2011-08-29,1010.5
2011-08-30,1010.5
2011-08-31,1010.0
2011-09-01,1013.75
2011-09-02,1027.25
2011-09-06,999.5
2011-09-07,1019.25
2011-09-08,1012.25
2011-09-09,1020.5
2011-09-12,1015.0
2011-09-13,989.5
2011-09-14,995.25
2011-09-15,1003.75
2011-09-16,993.75
2011-09-19,980.0
2011-09-20,977.25
2011-09-21,985.75
2011-09-22,955.0
2011-09-23,941.5
2011-09-26,912.0
2011-09-27,935.5
2011-09-28,922.0
2011-09-29,908.75
2011-09-30,910.25
2011-10-03,887.0
2011-10-04,874.5
2011-10-05,873.25
2011-10-06,881.75
2011-10-07,875.75
2011-10-10,889.5
2011-10-11,897.75
2011-10-12,908.0
2011-10-13,906.0
2011-10-14,905.25
2011-10-17,922.0
2011-10-18,908.75
2011-10-19,928.0
2011-10-20,917.0
2011-10-21,914.75
2011-10-24,923.0
2011-10-25,944.0
2011-10-26,944.25
2011-10-27,952.0
2011-10-28,965.75
2011-10-31,960.0
2011-11-01,938.75
2011-11-02,935.25
2011-11-03,963.0
2011-11-04,960.5
2011-11-07,945.0
