date,Settle
2007-03-19,67.0
2007-03-20,69.0
2007-03-21,70.5
2007-03-22,72.0
2007-03-23,72.0
2007-03-26,72.0
2007-03-27,72.0
2007-03-28,72.0
2007-03-29,72.0
2007-03-30,72.0
2007-04-02,72.0
2007-04-03,72.0
2007-04-04,72.0
2007-04-05,74.0
2007-04-09,75.0
2007-04-10,75.0
2007-04-11,75.0
2007-04-12,75.0
2007-04-13,77.0
2007-04-16,77.0
2007-04-17,77.0
2007-04-18,77.0
2007-04-19,77.0
2007-04-20,77.0
2007-04-23,77.0
2007-04-24,77.0
2007-04-25,77.0
2007-04-26,77.0
2007-04-27,77.0
2007-04-30,77.5
2007-05-04,78.5
2007-05-07,77.0
2007-05-08,77.0
2007-05-09,77.0
2007-05-10,77.0
2007-05-11,77.0
2007-05-14,77.0
2007-05-15,77.0
2007-05-16,77.0
2007-05-17,77.0
2007-05-18,77.0
2007-05-21,77.0
2007-05-22,77.0
2007-05-23,77.0
2007-05-24,77.0
2007-05-25,77.0
2007-05-29,76.75
2007-05-30,76.75
2007-05-31,76.75
2007-06-01,76.25
2007-06-04,76.25
2007-06-05,76.25
2007-06-06,76.25
2007-06-07,75.0
2007-06-08,75.0
2007-06-11,75.0
2007-06-12,74.5
2007-06-13,75.0
2007-06-14,75.0
2007-06-15,74.9749984741211
2007-06-18,74.9749984741211
2007-06-19,74.9749984741211
2007-06-20,74.9749984741211
2007-06-21,74.9749984741211
2007-06-22,75.25
2007-06-25,75.5
2007-06-26,75.5
2007-06-27,75.5
2007-06-28,75.5
2007-06-29,71.0
2007-07-02,72.0
2007-07-03,72.0
2007-07-05,71.5
2007-07-06,71.5
2007-07-09,71.5
2007-07-10,72.0
2007-07-11,72.0
2007-07-12,72.0
2007-07-13,73.0
2007-07-16,73.4749984741211
2007-07-17,73.4749984741211
2007-07-18,73.75
2007-07-19,73.0
2007-07-20,73.0
2007-07-23,73.0
2007-07-24,73.0
2007-07-25,73.0
2007-07-26,73.0
2007-07-27,73.44999694824219
2007-07-30,73.44999694824219
2007-07-31,73.9000015258789
2007-08-03,60.0
2007-08-06,60.75
2007-08-07,61.0
2007-08-08,63.5
2007-08-09,60.5
2007-08-10,60.5
2007-08-13,61.0
2007-08-14,61.0
2007-08-15,61.5
2007-08-16,61.5
2007-08-17,61.5
2007-08-20,61.5
2007-08-21,62.0
2007-08-22,62.0
2007-08-23,62.0
2007-08-24,61.25
2007-08-27,61.25
2007-08-28,61.25
2007-08-29,61.25
2007-08-30,61.25
2007-08-31,51.0
2007-09-04,51.0
2007-09-05,51.0
2007-09-06,50.0
2007-09-07,48.0
2007-09-10,49.0
2007-09-11,49.0
2007-09-12,49.0
2007-09-13,49.0
2007-09-14,49.0
2007-09-17,48.75
2007-09-18,48.75
2007-09-19,48.75
2007-09-20,48.5
2007-09-21,48.5
2007-09-24,48.5
2007-09-25,48.5
2007-09-26,48.5
2007-09-27,48.5
2007-09-28,48.0
2007-10-05,41.5
2007-10-08,41.5
2007-10-09,41.5
2007-10-10,41.474998474121094
2007-10-11,41.474998474121094
2007-10-12,41.474998474121094
2007-10-15,41.474998474121094
2007-10-16,41.474998474121094
2007-10-17,41.474998474121094
2007-10-18,41.474998474121094
2007-10-19,41.474998474121094
2007-10-22,41.474998474121094
2007-10-23,41.0
2007-10-24,41.099998474121094
2007-10-25,41.099998474121094
