date,Settle
2003-02-03,86.5
2003-02-26,82.5
2003-02-27,82.5
2003-02-28,82.5
2003-03-03,82.5
2003-03-04,82.5
2003-03-05,82.5
2003-03-06,82.5
2003-03-07,82.5
2003-03-11,82.5
2003-03-13,82.5
2003-03-14,82.5
2003-03-17,82.5
2003-03-18,82.5
2003-03-19,82.5
2003-03-20,82.5
2003-03-24,82.5
2003-03-25,82.5
2003-03-26,82.5
2003-03-27,82.5
2003-03-28,82.5
2003-03-31,82.5
2003-04-02,82.5
2003-04-03,82.0
2003-04-04,81.9000015258789
2003-04-07,81.9000015258789
2003-04-08,81.9000015258789
2003-04-09,81.9000015258789
2003-04-10,81.75
2003-04-11,81.75
2003-04-14,81.7249984741211
2003-04-15,81.7249984741211
2003-04-16,81.7249984741211
2003-04-17,81.7249984741211
2003-04-21,81.7249984741211
2003-04-22,81.7249984741211
2003-04-23,81.7249984741211
2003-04-24,81.7249984741211
2003-04-25,81.7249984741211
2003-04-28,81.7249984741211
2003-04-29,81.7249984741211
2003-04-30,81.7249984741211
2003-05-01,81.7249984741211
2003-05-02,81.8499984741211
2003-05-05,81.8499984741211
2003-05-06,81.8499984741211
2003-05-07,81.8499984741211
2003-05-08,81.8499984741211
2003-05-09,81.8499984741211
2003-05-12,81.8499984741211
2003-05-13,81.8499984741211
2003-05-14,81.8499984741211
2003-05-15,81.75
2003-05-16,81.75
2003-05-19,81.75
2003-05-20,81.5
2003-05-21,81.5
2003-05-22,81.5
2003-05-23,81.25
2003-05-27,81.25
2003-05-28,81.25
2003-05-29,81.25
2003-05-30,80.4000015258789
2003-06-02,81.69999694824219
2003-06-03,81.69999694824219
2003-06-04,81.5
2003-06-05,81.5
2003-06-06,81.5
2003-06-09,81.5
2003-06-10,81.5
2003-06-11,81.5
2003-06-12,81.5
2003-06-13,81.5
2003-06-16,81.0
2003-06-17,81.0
2003-06-18,80.5
2003-06-19,80.5
2003-06-20,80.5
2003-06-23,80.5
2003-06-24,80.5
2003-06-25,80.5
2003-06-26,80.5
2003-06-27,80.5
2003-06-30,80.5
2003-07-01,80.5
2003-07-02,80.5
2003-07-03,81.0
2003-07-07,81.0
2003-07-08,81.0
2003-07-09,81.0
2003-07-10,81.0
2003-07-11,81.0
2003-07-14,81.0
2003-07-15,81.0
2003-07-16,81.0
2003-07-17,81.0
2003-07-18,81.0
2003-07-21,81.0
2003-07-22,81.0
2003-07-23,81.0
2003-07-24,81.0
2003-07-25,81.0
2003-07-28,81.0
2003-07-29,81.0
2003-07-30,81.0
2003-07-31,81.0
2003-08-01,81.0
2003-08-04,81.0
2003-08-05,81.0
2003-08-06,81.0
2003-08-07,81.0
2003-08-08,81.0
2003-08-11,81.0
2003-08-12,81.0
2003-08-13,81.0
2003-08-14,81.0
2003-08-15,81.0
2003-08-18,81.0
2003-08-19,81.0
2003-08-20,81.0
2003-08-21,81.0
2003-08-22,81.0
2003-08-25,81.0
2003-08-26,81.0
2003-08-27,81.0
2003-08-28,81.0
2003-08-29,81.0
2003-09-02,81.0
2003-09-03,81.0
2003-09-04,81.0
2003-09-05,81.0
2003-09-08,81.0
2003-09-09,81.0
2003-09-10,81.0
2003-09-11,81.0
2003-09-12,81.0
2003-09-15,81.0
2003-09-16,81.0
2003-09-17,81.0
2003-09-18,81.0
2003-09-19,81.0
2003-09-22,81.0
2003-09-23,81.0
2003-09-24,81.0
2003-09-25,81.0
2003-09-26,81.0
2003-09-29,81.0
2003-09-30,81.0
2003-10-01,81.0
2003-10-02,81.0
2003-10-03,81.0
2003-10-06,81.0
2003-10-07,81.0
2003-10-08,81.0
2003-10-09,81.0
2003-10-10,81.0
2003-10-13,81.0
2003-10-14,81.0
2003-10-15,81.0
2003-10-16,81.0
2003-10-17,81.0
2003-10-20,81.0
2003-10-21,81.0
2003-10-22,81.0
2003-10-23,81.0
2003-10-24,81.0
2003-10-27,81.0
2003-10-28,81.0
2003-10-29,81.0
2003-10-30,81.0
2003-10-31,81.08999633789062
2003-11-03,81.0
2003-11-04,81.0
2003-11-05,81.0
2003-11-06,81.0
2003-11-07,81.0
2003-11-10,81.0
2003-11-11,81.0
2003-11-12,81.0
2003-11-13,81.0
2003-11-14,81.0
2003-11-17,81.0
2003-11-18,81.0
2003-11-19,81.0
2003-11-20,81.0
2003-11-21,81.0
2003-11-24,81.0
2003-11-25,81.0
2003-11-26,81.0
2003-11-28,81.0
