date,Settle
2010-01-11,119.6875
2010-01-12,121.78125
2010-01-13,120.15625
2010-01-14,121.75
2010-01-15,122.71875
2010-01-19,122.28125
2010-01-20,123.375
2010-01-21,124.15625
2010-01-22,124.125
2010-01-25,123.3125
2010-01-26,123.125
2010-01-27,123.4375
2010-01-28,123.1875
2010-01-29,124.375
2010-02-01,123.34375
2010-02-02,123.6875
2010-02-03,122.15625
2010-02-04,123.875
2010-02-05,125.0
2010-02-08,124.4375
2010-02-09,123.5
2010-02-10,122.15625
2010-02-11,121.3125
2010-02-12,121.75
2010-02-16,122.125
2010-02-17,120.625
2010-02-18,119.90625
2010-02-19,120.96875
2010-02-22,120.46875
2010-02-23,122.40625
2010-02-24,122.46875
2010-02-25,123.5
2010-02-26,124.59375
2010-03-01,124.0625
2010-03-02,123.8125
2010-03-03,123.5
2010-03-04,124.0625
2010-03-05,122.46875
2010-03-08,121.78125
2010-03-09,121.71875
2010-03-10,121.625
2010-03-11,122.1875
2010-03-12,122.78125
2010-03-15,122.6875
2010-03-16,123.5625
2010-03-17,123.96875
2010-03-18,123.71875
2010-03-19,123.90625
2010-03-22,123.875
2010-03-23,122.03125
2010-03-24,119.65625
2010-03-25,118.5625
2010-03-26,119.15625
2010-03-29,119.0
2010-03-30,119.09375
2010-03-31,119.96875
2010-04-01,119.78125
2010-04-05,117.59375
2010-04-06,117.53125
2010-04-07,119.46875
2010-04-08,119.15625
2010-04-09,119.46875
2010-04-12,120.40625
2010-04-13,120.96875
2010-04-14,119.96875
2010-04-15,119.84375
2010-04-16,120.96875
2010-04-19,120.375
2010-04-20,120.9375
2010-04-21,122.15625
2010-04-22,121.71875
2010-04-23,121.125
2010-04-26,121.0
2010-04-27,123.21875
2010-04-28,121.75
2010-04-29,122.65625
2010-04-30,124.03125
2010-05-03,123.6875
2010-05-04,125.75
2010-05-05,126.59375
2010-05-06,131.4375
2010-05-07,128.75
2010-05-10,126.46875
2010-05-11,126.25
2010-05-12,125.28125
2010-05-13,125.5
2010-05-14,128.53125
2010-05-17,127.96875
2010-05-18,129.8125
2010-05-19,130.15625
2010-05-20,132.125
2010-05-21,133.4375
2010-05-24,132.4375
2010-05-25,133.8125
2010-05-26,132.375
2010-05-27,129.71875
2010-05-28,130.25
2010-06-01,130.53125
2010-06-02,130.03125
2010-06-03,129.0625
2010-06-04,132.625
2010-06-07,132.53125
2010-06-08,133.125
2010-06-09,132.71875
2010-06-10,130.25
2010-06-11,132.5
2010-06-14,131.15625
2010-06-15,130.5625
2010-06-16,131.21875
2010-06-17,132.90625
2010-06-18,132.375
2010-06-21,132.1875
2010-06-22,131.90625
2010-06-23,132.75
2010-06-24,132.1875
2010-06-25,132.59375
2010-06-28,133.78125
2010-06-29,135.0
2010-06-30,135.8125
2010-07-01,136.84375
2010-07-02,135.3125
2010-07-06,136.40625
2010-07-07,135.125
2010-07-08,134.125
2010-07-09,133.28125
2010-07-12,133.3125
2010-07-13,132.0625
2010-07-14,133.53125
2010-07-15,134.90625
2010-07-16,135.46875
2010-07-19,134.71875
2010-07-20,135.28125
2010-07-21,136.59375
2010-07-22,135.40625
2010-07-23,134.0
2010-07-26,133.90625
2010-07-27,132.5625
2010-07-28,132.96875
2010-07-29,132.9375
2010-07-30,135.25
2010-08-02,133.375
2010-08-03,133.84375
2010-08-04,133.375
2010-08-05,133.5
2010-08-06,134.875
2010-08-09,134.71875
2010-08-10,134.25
2010-08-11,136.6875
2010-08-12,136.625
2010-08-13,137.90625
2010-08-16,141.46875
2010-08-17,140.46875
2010-08-18,141.28125
2010-08-19,143.0625
2010-08-20,143.125
2010-08-23,143.0
2010-08-24,145.3125
2010-08-25,144.96875
2010-08-26,145.96875
2010-08-27,142.0625
2010-08-30,144.3125
2010-08-31,146.0
2010-09-01,142.9375
2010-09-02,141.4375
2010-09-03,140.25
2010-09-07,142.75
2010-09-08,141.625
2010-09-09,138.90625
2010-09-10,138.21875
2010-09-13,138.9375
2010-09-14,140.28125
2010-09-15,138.34375
2010-09-16,137.375
2010-09-17,137.65625
2010-09-20,138.5625
2010-09-21,139.25
2010-09-22,139.84375
2010-09-23,140.125
2010-09-24,138.6875
2010-09-27,140.84375
2010-09-28,142.0625
2010-09-29,141.125
2010-09-30,141.28125
2010-10-01,140.5
2010-10-04,140.8125
2010-10-05,140.375
2010-10-06,141.90625
2010-10-07,140.8125
2010-10-08,140.15625
2010-10-11,140.09375
2010-10-12,139.03125
2010-10-13,138.40625
2010-10-14,136.84375
2010-10-15,134.8125
2010-10-18,136.34375
2010-10-19,136.875
2010-10-20,137.0625
2010-10-21,135.9375
2010-10-22,136.0625
2010-10-25,136.71875
2010-10-26,134.8125
2010-10-27,133.75
2010-10-28,133.59375
2010-10-29,134.84375
2010-11-01,134.5
2010-11-02,136.34375
2010-11-03,133.71875
2010-11-04,134.59375
2010-11-05,132.9375
2010-11-08,132.625
2010-11-09,130.28125
2010-11-10,130.5625
2010-11-11,130.21875
2010-11-12,129.90625
2010-11-15,127.78125
2010-11-16,130.09375
2010-11-17,129.625
2010-11-18,129.59375
2010-11-19,130.25
2010-11-22,131.21875
2010-11-23,132.03125
2010-11-24,129.3125
2010-11-26,131.125
2010-11-29,132.375
2010-11-30,133.5
2010-12-01,130.46875
2010-12-02,129.84375
2010-12-03,128.96875
2010-12-06,130.34375
2010-12-07,126.75
2010-12-08,126.34375
2010-12-09,127.125
2010-12-10,126.65625
2010-12-13,127.09375
2010-12-14,124.0625
2010-12-15,123.21875
2010-12-16,123.59375
2010-12-17,126.875
2010-12-20,126.03125
2010-12-21,125.9375
2010-12-22,124.90625
2010-12-23,124.5
2010-12-27,125.53125
2010-12-28,123.0625
2010-12-29,125.71875
2010-12-30,125.34375
2010-12-31,127.09375
2011-01-03,126.03125
2011-01-04,125.25
2011-01-05,123.03125
2011-01-06,123.375
2011-01-07,124.28125
2011-01-10,124.375
2011-01-11,124.5
2011-01-12,123.84375
2011-01-13,124.34375
2011-01-14,123.65625
2011-01-18,123.03125
2011-01-19,123.78125
2011-01-20,121.9375
2011-01-21,122.90625
2011-01-24,123.25
2011-01-25,125.03125
2011-01-26,122.53125
2011-01-27,123.3125
2011-01-28,124.0625
2011-01-31,123.15625
2011-02-01,122.375
2011-02-02,121.9375
2011-02-03,121.4375
2011-02-04,120.0625
2011-02-07,120.5
2011-02-08,119.5625
2011-02-09,120.875
2011-02-10,119.5
2011-02-11,120.5
2011-02-14,121.28125
2011-02-15,121.34375
2011-02-16,121.21875
2011-02-17,121.46875
2011-02-18,120.84375
2011-02-22,122.6875
2011-02-23,122.78125
2011-02-24,124.03125
2011-02-25,124.46875
2011-02-28,125.0625
2011-03-01,125.0
2011-03-02,123.71875
2011-03-03,122.125
2011-03-04,122.90625
2011-03-07,122.75
2011-03-08,121.84375
2011-03-09,122.9375
2011-03-10,124.21875
2011-03-11,124.125
2011-03-14,124.625
2011-03-15,125.625
2011-03-16,127.25
2011-03-17,126.5
2011-03-18,126.40625
2011-03-21,126.15625
2011-03-22,126.125
2011-03-23,124.625
2011-03-24,124.125
2011-03-25,123.46875
2011-03-28,123.6875
2011-03-29,122.75
2011-03-30,123.1875
2011-03-31,123.5625
2011-04-01,123.9375
2011-04-04,123.9375
2011-04-05,123.5
2011-04-06,122.09375
2011-04-07,121.40625
2011-04-08,121.28125
2011-04-11,121.1875
2011-04-12,122.34375
2011-04-13,122.84375
2011-04-14,123.0625
2011-04-15,124.5
2011-04-18,124.78125
2011-04-19,125.34375
2011-04-20,124.78125
2011-04-21,124.5
2011-04-25,124.6875
2011-04-26,125.9375
2011-04-27,124.6875
2011-04-28,125.4375
2011-04-29,125.875
2011-05-02,126.15625
2011-05-03,126.875
2011-05-04,127.5
2011-05-05,128.5
2011-05-06,128.21875
2011-05-09,128.15625
2011-05-10,127.5
2011-05-11,128.3125
2011-05-12,127.3125
2011-05-13,128.09375
2011-05-16,129.03125
2011-05-17,130.0
2011-05-18,128.84375
2011-05-19,128.625
2011-05-20,128.8125
2011-05-23,129.34375
2011-05-24,129.59375
2011-05-25,129.15625
2011-05-26,130.34375
2011-05-27,130.15625
2011-05-31,130.5625
2011-06-01,132.0
2011-06-02,130.0
2011-06-03,130.4375
2011-06-06,129.78125
2011-06-07,129.75
2011-06-08,130.9375
2011-06-09,130.71875
2011-06-10,131.53125
2011-06-13,131.125
2011-06-14,129.125
2011-06-15,131.28125
2011-06-16,132.21875
2011-06-17,131.46875
2011-06-20,131.46875
2011-06-21,131.28125
2011-06-22,129.625
2011-06-23,130.84375
2011-06-24,130.5
2011-06-27,128.3125
2011-06-28,127.25
2011-06-29,126.46875
2011-06-30,126.25
2011-07-01,125.875
2011-07-05,126.15625
2011-07-06,126.875
2011-07-07,126.5625
2011-07-08,128.5625
2011-07-11,129.96875
2011-07-12,130.28125
2011-07-13,130.59375
2011-07-14,129.3125
2011-07-15,129.15625
2011-07-18,128.40625
2011-07-19,130.3125
2011-07-20,129.0625
2011-07-21,128.0625
2011-07-22,129.15625
2011-07-25,127.90625
2011-07-26,128.9375
2011-07-27,128.8125
2011-07-28,129.3125
2011-07-29,131.9375
2011-08-01,133.25
2011-08-02,136.46875
2011-08-03,137.46875
2011-08-04,140.875
2011-08-05,138.625
2011-08-08,142.25
2011-08-09,144.40625
2011-08-10,145.5
2011-08-11,140.0625
2011-08-12,142.59375
2011-08-15,141.5
2011-08-16,143.6875
2011-08-17,145.40625
2011-08-18,148.375
2011-08-19,149.625
2011-08-22,149.3125
2011-08-23,147.40625
2011-08-24,144.15625
2011-08-25,144.8125
2011-08-26,146.09375
2011-08-29,143.96875
2011-08-30,146.625
2011-08-31,144.625
2011-09-01,146.59375
2011-09-02,151.21875
2011-09-06,152.5625
2011-09-07,150.28125
2011-09-08,151.34375
2011-09-09,152.90625
2011-09-12,153.1875
2011-09-13,151.15625
2011-09-14,151.5625
2011-09-15,150.3125
2011-09-16,150.5625
2011-09-19,154.09375
2011-09-20,153.6875
2011-09-21,154.625
2011-09-22,162.75
2011-09-23,160.3125
